,기사 제목,기사주소
0," 포스코인터·이래AMS, 美 전기차 리비안에 부품 공급 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
1," 현대차, 미국서 '전기차 제조시기' 일부러 늦추려는 이유는 [車 UP & DOWN] ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
2," 정의선, ""전기차 美서 생산 계획···시기 보고 있다""[뒷북비즈] ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
3," 정의선 회장 ""배터리 직접생산 안해, 전기차 美생산 계획중"" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
4," 정의선 현대차 회장 ""전기차 美생산 계획…시기 보고있다"" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
5," ""보조금 없이 통할까"" BMW, 韓 전기차 시장 노린 'iX·iX3' 국내 출시 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
6," 中 오포, 이르면 2년내 첫 전기차 출시 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
7," ""턱 없이 부족한 전기차 공용충전기, 원인은..."" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
8," 아우디, ‘서울 모빌리티쇼’서 전기차 등 4종 한국 최초 공개 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
9," 文만난 코스타리카 대통령 ""한국의 수소·전기차 우선 고려"" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
10, EV9에 니로까지 전기차 라인업 확대…전동화 꿈틀대는 기아 ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
11, 양주 옥정신도시에 초급속 전기차 충전시설 구축 ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
12, 전기차 大戰 '충전 ON' ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
13," 테슬라와 리비안의 시소게임…美 전기차 대장주의 엇갈리는 시세, 왜? ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
14," “전기차 수요 폭발…이차전지 시장, 2030년 2510억弗 규모 전망” ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
15," 정의선 ""미국서 전기차 생산 계획"" 공식 언급…시기는 미정 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
16," 中 오포, 이르면 2년내 첫 전기차 출시 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
17," 文만난 코스타리카 대통령 ""한국의 수소·전기차 우선 고려"" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
18, EV9에 니로까지 전기차 라인업 확대…전동화 꿈틀대는 기아 ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
19, 전기차 大戰 '충전 ON' ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
20," 테슬라와 리비안의 시소게임…美 전기차 대장주의 엇갈리는 시세, 왜? ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
21," ""턱 없이 부족한 전기차 공용충전기, 원인은..."" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
22, 양주 옥정신도시에 초급속 전기차 충전시설 구축 ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
23," “전기차 수요 폭발…이차전지 시장, 2030년 2510억弗 규모 전망” ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
24, 1억4630만원 BMW 전기차 나왔다 ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
25," 아우디, 서울모빌리티쇼에 전기차 'Q4 e-트론' 등 18대 총출동 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
26," GM, 전기차 이어 전기보트 시장 노린다 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
27, 전기차 제왕 vs 월가 황제 해묵은 불화…결국 법정 갔다 ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
28," 여한구 ""한미 신통상 공조 강화…철강·전기차 등 현안 해결도 요구"" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
29," ""전기차 구독하세요""…현대차, 모빌리티 구독 플랫폼 제주 진출 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005738402
